Breed,Group
American Foxhound Mix,Hound
Great Pyrenees Mix,Working
Bulldog,Non-Sporting
Leonberger Mix,Working
Patterdale Terr,Terrier
Pug,Toy
Wirehaired Pointing Griffon Mix,Sporting
German Pinscher,Working
Bernese Mountain Dog,Working
Neapolitan Mastiff Mix,Working
Lhasa Apso Mix,Non-Sporting
Akita Mix,Working
Chesa Bay Retr Mix,Sporting
American Pit Bull Terrier,Terrier
Shetland Sheepdog,Herding
Pit Bull,PittBull
Chesa Bay Retr,Sporting
English Pointer Mix,Sporting
Presa Canario Mix,Working
Brittany Mix,Sporting
Plott Hound Mix,Hound
Irish Setter,Sporting
Port Water Dog Mix,Working
Rhod Ridgeback,Hound
Spinone Italiano Mix,Sporting
Canaan Dog,Working
Spanish Mastiff Mix,Working
Bichon Frise,Non-Sporting
Blue Lacy,Working
Weimaraner Mix,Sporting
Cane Corso Mix,Working
Spanish Water Dog,Working
Border Terrier Mix,Terrier
Jack Russell Terrier Mix,Terrier
Redbone Hound,Hound
Toy Poodle,Toy
Entlebucher Mix,Herding
Anatol Shepherd Mix,Working
Blue Lacy Mix,Working
Tibetan Spaniel Mix,Non-Sporting
Bull Terrier,Terrier
German Shepherd Mix,Working
Papillon,Toy
Boston Terrier Mix,Non-Sporting
Welsh Springer Spaniel Mix,Sporting
Keeshond Mix,Non-Sporting
Dachshund Wirehair Mix,Hound
Skye Terrier Mix,Terrier
Alaskan Husky,Working
Maltese,Toy
Italian Greyhound Mix,Hound
Hovawart Mix,Working
Border Terrier,Terrier
Pbgv Mix,Hound
English Springer Spaniel Mix,Sporting
Saluki,Hound
Queensland Heeler Mix,Herding
Finnish Spitz Mix,Non-Sporting
English Pointer,Sporting
Parson Russell Terrier Mix,Terrier
Norwich Terrier Mix,Terrier
Dalmatian,Non-Sporting
Miniature Pinscher Mix,Toy
Norwegian Elkhound Mix,Hound
Ibizan Hound,Hound
Basenji Mix,Hound
Dachshund Wirehair,Hound
Maltese Mix,Toy
Treeing Tennesse Brindle,Hound
Chinese Crested Mix,Toy
Welsh Terrier,Terrier
Carolina Dog Mix,Unknown
Welsh Terrier Mix,Terrier
Mastiff Mix,Working
Manchester Terrier,Terrier
Norwich Terrier,Terrier
Great Dane,Working
American Pit Bull Terrier Mix,Terrier
Doberman Pinsch,Working
Treeing Walker Coonhound,Hound
Toy Poodle Mix,Toy
Great Pyrenees,Working
Boykin Span,Sporting
Cocker Spaniel Mix,Sporting
Pbgv,Hound
French Bulldog,Non-Sporting
Pointer Mix,Sporting
Bearded Collie Mix,Herding
Chow Chow,Non-Sporting
Plott Hound,Hound
Australian Shepherd Mix,Herding
Scottish Terrier,Terrier
Norfolk Terrier Mix,Terrier
Irish Wolfhound,Hound
Black Mouth Cur,Herding
Schnauzer Giant,Working
Tibetan Terrier,Terrier
Pharaoh Hound Mix,Hound
Nova Scotia Duck Tolling Retriever Mix,Sporting
Yorkshire Terrier Mix,Terrier
American Foxhound,Hound
Border Collie Mix,Herding
Chinese Crested,Toy
Schipperke,Non-Sporting
Tibetan Terrier Mix,Terrier
Patterdale Terr Mix,Terrier
Presa Canario,Working
Mexican Hairless,Non-sporting
Kuvasz Mix,Working
Old English Sheepdog Mix,Herding
Eng Toy Spaniel Mix,Toy
Cirneco,Hound
Gordon Setter Mix,Sporting
Dachshund Stan Mix,Hound
Coton De Tulear,Non-Sporting
Jindo,Hound
Coton De Tulear Mix,Non-Sporting
Lowchen,Non-Sporting
Old English Bulldog,Non-Sporting
Samoyed,Working
Bearded Collie,Herding
Picardy Sheepdog,Herding
Greater Swiss Mountain Dog,Working
Treeing Cur,Hound
Feist,Terrier
Dandie Dinmont,Terrier
